# Replacement pairs for StandardizeSpecialChars.
# Format: from<TAB>to[<TAB># comment]. Line order defines the
# strings.Replacer registration order: when several patterns match at the
# same position, the earliest pair in this file wins.

# ============================================================
# Category 1: 住所パターン (addressPatterns)
# 複数文字の変換、住所特有のパターン
# ============================================================
# Kyoto street name patterns: 入ル → 入 (DB uses 入 without ル)
東入ル	東入
西入ル	西入
# Multi-character mappings
楠木	楠
# Character to multi-character
鸙	雲雀
桵	たら
# ABR外字縮退マップより（1文字→複数文字）
𢉿	から	# U+2227F → ひらがな

# ============================================================
# Category 2: 仮名バリエーション (kanaVariants)
# 仮名・仮名的文字のバリエーションを統一
# Note: ひらがな「が」は変換しない。HiraganaToKatakanaで自然に「ガ」になる。
# Note: 変換先が「ガ」なのは、ヶ・ケ・ガ・が の4表記が合流する唯一の形だから。
#       「ケ」にすると、後段で「ガ」になる「が」だけが合流しない。
# ============================================================
ヶ	ガ	# 小さいケ（助数詞由来）→ ガ
ケ	ガ	# 大きいケ（地名表記）→ ガ
之	ノ

# ============================================================
# Category 3: 旧字体 (kyujitai)
# 常用漢字表の旧字体 → 新字体
# 参照: https://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kijun/naikaku/kanji/
# ============================================================
# 常用漢字表 付表 旧字体一覧より
兩	両	# 兩(U+5169): 1, 両(U+4E21): 549 in DB
竝	並	# 竝(U+7ADD): 0, 並(U+4E26): 1186 in DB
乘	乗	# 乘(U+4E58): 4, 乗(U+4E57): 491 in DB
豫	予	# 豫(U+8C6B): 1, 予(U+4E88): 732 in DB
曾	会	# 曾(U+66FE): 80, 会(U+4F1A): 19793 in DB
會	会	# 會(U+6703): 5, 会(U+4F1A): 19793 in DB
傳	伝	# 傳(U+50B3): 25, 伝(U+4F1D): 508 in DB
來	来	# 來(U+4F86): 2, 来(U+6765): 2880 in DB
儘	侭	# 儘(U+5118): 48, 侭(U+4FAD): 41 in DB
圓	円	# 圓(U+5713): 13, 円(U+5186): 1151 in DB
寫	写	# 寫(U+5BEB): 0, 写(U+5199): 7 in DB
劍	剣	# 劍(U+528D): 0, 剣(U+5263): 158 in DB
勞	労	# 勞(U+52DE): 0, 労(U+52B4): 55 in DB
區	区	# 區(U+5340): 1, 区(U+533A): 74139 in DB
醫	医	# 醫(U+91AB): 0, 医(U+533B): 32 in DB
參	参	# 參(U+53C3): 0, 参(U+53C2): 1814 in DB
雙	双	# 雙(U+96D9): 0, 双(U+53CC): 3371 in DB
營	営	# 營(U+71DF): 0, 営(U+55B6): 47 in DB
團	団	# 團(U+5718): 2, 団(U+56E3): 922 in DB
圖	図	# 圖(U+5716): 1, 図(U+56F3): 127 in DB
國	国	# 國(U+570B): 22, 国(U+56FD): 8085 in DB
墮	堕	# 墮(U+58AE): 1, 堕(U+5815): 6 in DB
賣	売	# 賣(U+8CE3): 1, 売(U+58F2): 968 in DB
壺	壷	# 壺(U+58FA): 177, 壷(U+58F7): 14 in DB
奧	奥	# 奧(U+5967): 2, 奥(U+5965): 8152 in DB
實	実	# 實(U+5BE6): 46, 実(U+5B9F): 882 in DB
寢	寝	# 寢(U+5BE2): 0, 寝(U+5BDD): 213 in DB
